country_code,year,medal_count,country_name,gdp,athlete_count,ratio
MEX,2008,4,Mexico,1101275278668.79,103,0.038834951456310676
MEX,2012,24,Mexico,1186598324461.82,119,0.20168067226890757
MEX,2016,5,Mexico,1046922702460.87,139,0.03597122302158273
MKD,2000,1,"Macedonia, FYR",3772851420.24763,15,0.06666666666666667
MNE,2012,14,Montenegro,4087724527.81704,34,0.4117647058823529
MOZ,1996,1,Mozambique,3523842274.89662,3,0.3333333333333333
MOZ,2000,1,Mozambique,5016469068.50898,4,0.25
NAM,1992,2,Namibia,3448326858.34502,10,0.2
NAM,1996,2,Namibia,3945340776.40546,10,0.2
NOR,1960,2,Norway,5163271598.15702,105,0.01904761904761905
NOR,1968,6,Norway,10159934136.7838,193,0.031088082901554404
NOR,1972,8,Norway,17358610849.701,275,0.02909090909090909
NOR,1976,6,Norway,35942270686.3374,160,0.0375
NOR,1984,4,Norway,62057955032.7758,229,0.017467248908296942
NOR,1988,22,Norway,101900260856.222,194,0.1134020618556701
NOR,1992,23,Norway,130838040067.584,270,0.08518518518518518
NOR,1996,23,Norway,163517783497.163,116,0.19827586206896552
NOR,2000,43,Norway,171315639982.731,115,0.3739130434782609
NOR,2004,7,Norway,264357494659.388,60,0.11666666666666667
NOR,2008,22,Norway,462554432624.114,102,0.21568627450980393
NOR,2012,17,Norway,510229136226.902,69,0.2463768115942029
NOR,2016,19,Norway,371076190476.19,77,0.24675324675324675
NZL,1960,3,New Zealand,5485854791.97096,59,0.05084745762711865
NZL,1964,6,New Zealand,7274144350.81809,88,0.06818181818181818
NZL,1968,7,New Zealand,5180597620.64135,80,0.0875
NZL,1972,14,New Zealand,9567331064.65727,118,0.11864406779661017
NZL,1976,25,New Zealand,13604832424.0062,111,0.22522522522522523
NZL,1984,23,New Zealand,21665456808.0473,171,0.13450292397660818
NZL,1988,24,New Zealand,45176167471.8196,131,0.183206106870229
NZL,1992,15,New Zealand,41649298170.9911,185,0.08108108108108109
NZL,1996,9,New Zealand,70140835299.0148,129,0.06976744186046512
NZL,2000,4,New Zealand,52623281956.7031,177,0.022598870056497175
